Features,Labels,Encoded Labels
reflection scm data inaccurate resolving issues in scms,23.0-100.0,Task8
minor admin  management tasks  december,10.0-23.0,Task7
 new  test warehouse buildcompare figures with live,2.0-3.0,Task3
document sip backup procedures,4.0-7.0,Task5
daily server checks  week ,2.0-3.0,Task3
ldex test on dev server,0.0-1.0,Task1
release scms application to live   synd,4.0-7.0,Task5
release scms warehouse to live   synd,10.0-23.0,Task7
backup release prepost versions to disk   synd,0.0-1.0,Task1
incorrect lloyds scm control date from lloyds due to changes in message loading,1.0-2.0,Task2
incorrect lloyds scm control date from lloyds due to changes in message loading,1.0-2.0,Task2
windows service to manage communications between scms and ldex,3.0-4.0,Task4
installing net v,10.0-23.0,Task7
alter stats control to handle  format triangles properly,0.0-1.0,Task1
alter stats control for new cumulativebased triangles,4.0-7.0,Task5
switch sip mail access to secure pop and smtp,4.0-7.0,Task5
xml notes  v format dbs need converting to v,1.0-2.0,Task2
populate risksectionlimit,7.0-10.0,Task6
release technical core v ,1.0-2.0,Task2
release technical core v ,1.0-2.0,Task2
user support  synd  specific usmmatching ri check setup,2.0-3.0,Task3
moving diary event changes to dev core and scms,1.0-2.0,Task2
moving diary event changes to dev core and scms,1.0-2.0,Task2
summary field access not refreshed when removing all diary events,7.0-10.0,Task6
sort out system size report scripts for  ,0.0-1.0,Task1
add   to the task system,0.0-1.0,Task1
change task system search for  ,1.0-2.0,Task2
replacing sip data grid with v base version which is better,23.0-100.0,Task8
usm signed line column cant enter neg numbers during manual entry,2.0-3.0,Task3
populate riskline,10.0-23.0,Task7
allow net amount entry on manual entry usms as well as contra items  see plan,1.0-2.0,Task2
usm split for  live not showing yoa,0.0-1.0,Task1
user support    manual usm entryupdates,0.0-1.0,Task1
user support  aid   with synd  ri validation errors,0.0-1.0,Task1
multiple surplus lines reinsurance data conversion  ,7.0-10.0,Task6
multiple surplus lines reinsurance data conversion  ,7.0-10.0,Task6
get  proportional xlsior export working,0.0-1.0,Task1
update risksectionlimit,0.0-1.0,Task1
frmreport  descriptions not displaying correctly ,1.0-2.0,Task2
debug all  format triangles,3.0-4.0,Task4
scm form doesnt open if not linked to a risk,1.0-2.0,Task2
scm form doesnt open if not linked to a risk,1.0-2.0,Task2
synd outstandings report,1.0-2.0,Task2
lors export should reference only the first layer section,0.0-1.0,Task1
assist   with  vpn dialin issues,3.0-4.0,Task4
user help    on event selection,0.0-1.0,Task1
 broker orders ,1.0-2.0,Task2
cannot correct incorrect uwref on scm line,4.0-7.0,Task5
cannot correct incorrect uwref on scm line,4.0-7.0,Task5
remove ri linkinf for  syndicates,0.0-1.0,Task1
allow validation of duplicate events when they are typed in,4.0-7.0,Task5
populate risklinepremiumexposurehistory,2.0-3.0,Task3
populate risklinecalculation ,23.0-100.0,Task8
populate risklinecalculation ,23.0-100.0,Task8
ugd  permit user dialin vpn access to remedy problem on server,1.0-2.0,Task2
raise scm amount query with ,0.0-1.0,Task1
catch all tasks,0.0-1.0,Task1
testing new functionality on scm event splits system area,3.0-4.0,Task4
testing new functionality on scm event splits system area,3.0-4.0,Task4
release task  uw ref corr bug to live dbs,0.0-1.0,Task1
adding additional task super search fields,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
add staff photo gallery to website,10.0-23.0,Task7
add staff photo gallery to website,10.0-23.0,Task7
the xlsior export proportional is not populating the eventsub event fields,4.0-7.0,Task5
risk policy  risk history tab view usmscm buttons cause app to die,1.0-2.0,Task2
user support   syndicate ii grouptype super search fields missing,0.0-1.0,Task1
delete ririsk causing save diary event error,2.0-3.0,Task3
risk  action super user  line riskcode lookup not correct,1.0-2.0,Task2
lack of space preventing queries again,1.0-2.0,Task2
risk screen  risk history sp not getting risk history data,1.0-2.0,Task2
full v scms testing,23.0-100.0,Task8
usm diary event save  causing exception errors,3.0-4.0,Task4
usm treaty tabtreaty balance not showingadditional cliam details,3.0-4.0,Task4
usm treaty narrative extra column space  need to remove from metagrid,0.0-1.0,Task1
new reference table reqd for fil country code,4.0-7.0,Task5
cannot add a new row in the reference data after a search,10.0-23.0,Task7
bring warehouse into line with v,10.0-23.0,Task7
synd   add missing broker codes from scmusm to refbroker table,0.0-1.0,Task1
usm treaty transaction manual entry  validation errors remian on signed line pct,7.0-10.0,Task6
contra usm linked to ri causes error  though item contras ok,4.0-7.0,Task5
contra usm with instalmenttreaty causes error  primary key violation,4.0-7.0,Task5
usm add diary event causes error if user not in roleusersusm  see plan,4.0-7.0,Task5
usm search results split usm totals not displaying,1.0-2.0,Task2
usm split delete causes error,1.0-2.0,Task2
move duplicate rows from riskrisk and related tables into temporary storage,2.0-3.0,Task3
sync  live warehouse to dev warehouse,0.0-1.0,Task1
technical consultation to ,4.0-7.0,Task5
usm contra new and contrad transaction not showing lloydsprocessingdate,1.0-2.0,Task2
user support    event save problem,0.0-1.0,Task1
scm search  broker name search field error,0.0-1.0,Task1
 scms cover entry meeting,2.0-3.0,Task3
work out it costs for ,7.0-10.0,Task6
scmusm validation process messagebox bug,4.0-7.0,Task5
sort out technet  msdn delivery,1.0-2.0,Task2
sort out servercity hosting agreement,4.0-7.0,Task5
usmadditional signingsclaim  details child table links need to be removed,0.0-1.0,Task1
scm add linked ri  spscmlookuplinkedrisave causes errors,1.0-2.0,Task2
sprivalidationerrors needs to be  updated with v new col names,0.0-1.0,Task1
add a split to multiple line claims does not save see plan,1.0-2.0,Task2
setuptest role for exchange rates update,0.0-1.0,Task1
rework triangulation procedures for cumulativebased triangles,10.0-23.0,Task7
 technical meeting,4.0-7.0,Task5
daily server checks  week ,1.0-2.0,Task2
period close  usm  no validation errors remaining check causes exception,1.0-2.0,Task2
add declarations on carriedover risks into risksectiondeclaration,0.0-1.0,Task1
test visual sourcesafe ,10.0-23.0,Task7
test visual sourcesafe ,10.0-23.0,Task7
reinstall  s old laptop,4.0-7.0,Task5
 warehouse build failed,0.0-1.0,Task1
 progress meeting ,4.0-7.0,Task5
column sorting dialouge for data grid,10.0-23.0,Task7
net  binder management conversion,23.0-100.0,Task8
december management tasks,1.0-2.0,Task2
add limits for carriedoverrisks to risksectionlimit,0.0-1.0,Task1
populate riskline with new sectionuniqueids,1.0-2.0,Task2
fixing declarations which have been entered as risks,4.0-7.0,Task5
usms not showing ri summary after load up,1.0-2.0,Task2
scm  linked usm grid needs to show cash column,1.0-2.0,Task2
ltdhq problems investigation,0.0-1.0,Task1
diary event bug  see plan,2.0-3.0,Task3
assist  with  server problems,0.0-1.0,Task1
review of  proposals and documentation of thoughts,3.0-4.0,Task4
 lors extract to include th character where it exists from origuwref,0.0-1.0,Task1
 lors extract to include th character where it exists from origuwref,0.0-1.0,Task1
replace policyref with layerref in lors export,0.0-1.0,Task1
read paper on yoa vs accident year reporting,0.0-1.0,Task1
missing usm line columns need readding,0.0-1.0,Task1
cut down the  events not netting properly in the allocation,23.0-100.0,Task8
split figures not correct when deleting a duplicate event,7.0-10.0,Task6
 s changes on  check,0.0-1.0,Task1
reports not working  see plan,3.0-4.0,Task4
stats menu triangles,23.0-100.0,Task8
stats menu  xlsior export lorsproportional sp column names,3.0-4.0,Task4
populate riskname,4.0-7.0,Task5
hide ldex message menu item from reference menu for v,0.0-1.0,Task1
user support  investigate   query into scm ri auto calc,1.0-2.0,Task2
task system  scms tasks check,0.0-1.0,Task1
check live databases status  shrink files where applicable,0.0-1.0,Task1
catch all tasks  windows update and task clearing,0.0-1.0,Task1
windows update,0.0-1.0,Task1
daily server checks,1.0-2.0,Task2
catch all tasks,1.0-2.0,Task2
investigate automated security patch deployment,23.0-100.0,Task8
user help added user to a role to add events,0.0-1.0,Task1
scms testing of usm screen  eventing system,3.0-4.0,Task4
adding event error screen has spelling mistake,0.0-1.0,Task1
cleaning up task system tasks,0.0-1.0,Task1
minor admin  management tasks  january,23.0-100.0,Task8
daily server checks  week ,2.0-3.0,Task3
arrange repair of  s laptop  again,7.0-10.0,Task6
visual studio problems to assembly manifest  needed to use vss and clean build,0.0-1.0,Task1
reinstall old evesham laptop for vs testing,2.0-3.0,Task3
ugd  organise gns firewall  router handover,0.0-1.0,Task1
check if risk system has been populated correctly,4.0-7.0,Task5
release core to reflect current changes and for testing ,0.0-1.0,Task1
 usm validation failure,3.0-4.0,Task4
users setup on scms  synd ,1.0-2.0,Task2
scms tasks reivew  catchup on progress,1.0-2.0,Task2
checkaid scm split work by  ,0.0-1.0,Task1
populate scmclaim,23.0-100.0,Task8
usmprocessmonth now holds last day of month check period close,1.0-2.0,Task2
scms  testing,4.0-7.0,Task5
daily management tasks january ,10.0-23.0,Task7
 jobs failed  investigate and resolve,0.0-1.0,Task1
super search save query fails,2.0-3.0,Task3
do not run user specific validations on save or load,2.0-3.0,Task3
do not run user specific validations on save or load,2.0-3.0,Task3
review of net  conversion and new grid enhancements,4.0-7.0,Task5
review of net  conversion and new grid enhancements,4.0-7.0,Task5
statistics  figures book search not working,3.0-4.0,Task4
user support   xlsior extract exporting guide for  ,0.0-1.0,Task1
 claim exception  aid   with investigating and resolving issue,0.0-1.0,Task1
 live conversion to v,23.0-100.0,Task8
removal defunct syndicate  scm lines from  system data,0.0-1.0,Task1
adding column ordering into new grid,10.0-23.0,Task7
binder management review with adrian bye,3.0-4.0,Task4
investigatefix error in  risk code triangle,1.0-2.0,Task2
catch all tasks  windows updates and outlook fixes,0.0-1.0,Task1
usmsupersearch not working,1.0-2.0,Task2
fix two small bugs in xlsior os export,0.0-1.0,Task1
sync  live triangle changesxlsior proportional extract changes to dev,0.0-1.0,Task1
vpn client upgrade to sort db connection problems when vpn connected,0.0-1.0,Task1
 warhouse triangles rebuild,0.0-1.0,Task1
investigate  running slow,0.0-1.0,Task1
daily server checks  week ,2.0-3.0,Task3
write text for sip brochure,4.0-7.0,Task5
user support   scm ri update    message box query,3.0-4.0,Task4
user support   scm ri update    message box query,3.0-4.0,Task4
populate scmline,10.0-23.0,Task7
conversion of  to version ,23.0-100.0,Task8
conversion of  to version ,23.0-100.0,Task8
allow drag and drop of lookup columns,4.0-7.0,Task5
bring  format triangles into line with v,7.0-10.0,Task6
 warehouse issue  invesigate and resolve ,0.0-1.0,Task1
get working local copy of dev to merge  s changes after meeting  ,0.0-1.0,Task1
reviewmeeting  check in of corescms changes,2.0-3.0,Task3
reviewmeeting  check in of corescms changes,2.0-3.0,Task3
query with claim   ,1.0-2.0,Task2
updating and extending sort grid dialogue for new datagrid,10.0-23.0,Task7
set up virtual server testlab,1.0-2.0,Task2
ugd  permit outbound pptp tunnels through ugd firewall,0.0-1.0,Task1
development meeting with    cancelled replaced by task ,1.0-2.0,Task2
testcheckin scm split code and add new split tests to test schedule,0.0-1.0,Task1
warehouse changes resulting from move to monthly build,7.0-10.0,Task6
investigate bandwidth requirements of sip applications,4.0-7.0,Task5
demo of binder management system,2.0-3.0,Task3
demo of binder management system,2.0-3.0,Task3
write task system marketing sheet,2.0-3.0,Task3
write task system marketing sheet,2.0-3.0,Task3
create new user   on  and help setup machine,1.0-2.0,Task2
stats form tests ,0.0-1.0,Task1
new events bulk insert from reflection to save users inputing time,23.0-100.0,Task8
final review of scms split changes,0.0-1.0,Task1
meeting at lombard street for binder management,1.0-2.0,Task2
check warehouse performance and figures,23.0-100.0,Task8
marketing meeting,4.0-7.0,Task5
 marketing meeting,4.0-7.0,Task5
meeting at lombard street for binder management,1.0-2.0,Task2
set up digital sender in regus office,3.0-4.0,Task4
user support    issue with fac calculations,2.0-3.0,Task3
user support    issue with fac calculations,2.0-3.0,Task3
